playerID	nameFirst	nameLast	debut	finalGame		
shaff01		Shaffer	1875-09-15	1875-09-15		
smithto01	Tom	Smith	1875-09-15	1875-10-09		
walkeos01	Oscar	Walker	1875-09-17	1885-09-04		
brady01	Spike	Brady	1875-09-25	1875-09-25		
gilliba01	Barney	Gilligan	1875-09-25	1888-04-27		
rextewi01	William	Rexter	1875-09-25	1875-09-25		
stodd01		Stoddard	1875-09-25	1875-10-09		
knighge01	George	Knight	1875-09-28	1875-09-28		
sheri01		Sheridan	1875-10-09	1875-10-09		
goldsfr01	Fred	Goldsmith	1875-10-23	1884-09-10		
weavesa01	Sam	Weaver	1875-10-25	1886-05-29		
fousebi01	Bill	Fouser	1876-04-22	1876-09-16		
morrijo01	John	Morrill	1876-04-24	1890-07-08		
bootham01	Amos	Booth	1876-04-25	1882-09-28		
piersda01	Dave	Pierson	1876-04-25	1876-09-28		
snydere01	Redleg	Snyder	1876-04-25	1884-09-12		
rittewh01	Whitey	Ritterson	1876-05-02	1876-08-09		
shandji01	Jim	Shanley	1876-05-03	1876-05-04		
mcguijo01	John	McGuinness	1876-05-06	1884-08-07		
whitnfr01	Frank	Whitney	1876-05-17	1876-08-21		
larkite01	Terry	Larkin	1876-05-20	1884-10-13		
valenbo01	Bob	Valentine	1876-05-20	1876-05-20		
brownle01	Lew	Brown	1876-06-17	1884-10-19		
deando01	Dory	Dean	1876-06-22	1876-10-09		
andrufr01	Fred	Andrus	1876-07-25	1884-07-04		
fairge01	George	Fair	1876-07-29	1876-07-29		
wardji01	Jim	Ward	1876-08-03	1876-08-03		
berghjo01	John	Bergh	1876-08-05	1880-06-09		
treacpe01	Pete	Treacey	1876-08-05	1876-08-07		
willida01	Dale	Williams	1876-08-12	1876-09-09		
bradlfo01	Foghorn	Bradley	1876-08-23	1876-10-21		
holbebi01	Bill	Holbert	1876-09-05	1888-07-12		
paullo01	Lou	Paul	1876-09-05	1876-09-08		
hayesmi01	John	Hayes	1876-09-09	1876-09-16		
mullejo01	John	Mullin	1876-09-09	1876-09-09		
